Column1;Column2;Column3;Column4
4,41E+09;-205,81;4,41;983,4706337
4,41E+09;-206,18;4,41;977,8408712
4,41E+09;-206,54;4,41;965,4503769
4,41E+09;-206,91;4,41;988,3109955
4,42E+09;-207,28;4,42;986,9411698
4,42E+09;-207,65;4,42;917,9704703
4,42E+09;-207,99;4,42;960,7256857
4,42E+09;-208,35;4,42;1001,84862
4,42E+09;-208,73;4,42;1020,011377
4,42E+09;-209,11;4,42;915,1855919
4,42E+09;-209,45;4,42;1019,738405
4,42E+09;-209,83;4,42;961,1711961
4,42E+09;-210,19;4,42;973,7634294
4,42E+09;-210,56;4,42;926,045375
4,42E+09;-210,91;4,42;1017,33984
4,42E+09;-211,29;4,42;948,8091039
4,42E+09;-211,64;4,42;970,5685115
4,42E+09;-212,01;4,42;964,6540149
4,42E+09;-212,37;4,42;983,9257887
4,42E+09;-212,74;4,42;949,4825678
4,42E+09;-213,09;4,42;973,3078853
4,42E+09;-213,46;4,42;957,2889387
4,42E+09;-213,82;4,42;990,9819984
4,42E+09;-214,19;4,42;939,4785004
4,42E+09;-214,54;4,42;985,1320711
4,42E+09;-214,91;4,42;987,5537606
4,42E+09;-215,28;4,42;934,7109383
4,42E+09;-215,63;4,42;939,9136661
4,42E+09;-215,98;4,42;971,6391621
4,42E+09;-216,35;4,42;1016,317405
4,42E+09;-216,73;4,42;947,9390908
4,43E+09;-217,08;4,43;976,8363165
4,43E+09;-217,45;4,43;960,8979604
4,43E+09;-217,81;4,43;973,6049767
4,43E+09;-218,17;4,43;941,0886568
4,43E+09;-218,53;4,43;959,1865867
4,43E+09;-218,89;4,43;993,1724624
4,43E+09;-219,26;4,43;945,6201246
4,43E+09;-219,61;4,43;970,738265
4,43E+09;-219,98;4,43;981,9068632
4,43E+09;-220,35;4,43;959,8214458
4,43E+09;-220,70;4,43;981,488524
4,43E+09;-221,07;4,43;931,5261982
4,43E+09;-221,42;4,43;970,3831058
4,43E+09;-221,79;4,43;973,4031826
4,43E+09;-222,15;4,43;967,72349
4,43E+09;-222,51;4,43;951,4004816
4,43E+09;-222,87;4,43;1007,404161
4,43E+09;-223,25;4,43;943,6243756
4,43E+09;-223,60;4,43;968,7308137
4,43E+09;-223,96;4,43;948,7496088
4,43E+09;-224,32;4,43;952,8383955
4,43E+09;-224,68;4,43;972,5270483
4,43E+09;-225,04;4,43;972,7110674
4,43E+09;-225,41;4,43;979,3776732
4,43E+09;-225,77;4,43;973,5291232
4,43E+09;-226,14;4,43;972,483448
4,43E+09;-226,50;4,43;945,5586032
4,44E+09;-226,86;4,44;974,5305092
4,44E+09;-227,22;4,44;974,6692006
4,44E+09;-227,59;4,44;988,6170535
4,44E+09;-227,96;4,44;973,0205562
4,44E+09;-228,32;4,44;940,6046962
4,44E+09;-228,68;4,44;971,2692666
4,44E+09;-229,04;4,44;980,6074195
4,44E+09;-229,41;4,44;973,1685316
4,44E+09;-229,77;4,44;929,8430555
4,44E+09;-230,12;4,44;975,6774643
4,44E+09;-230,49;4,44;989,4024498
4,44E+09;-230,86;4,44;989,5828029
4,44E+09;-231,23;4,44;951,7910135
4,44E+09;-231,59;4,44;998,8846153
4,44E+09;-231,96;4,44;977,6203463
4,44E+09;-232,33;4,44;946,6538245
4,44E+09;-232,68;4,44;989,1657235
4,44E+09;-233,05;4,44;963,9987735
4,44E+09;-233,41;4,44;972,5357854
4,44E+09;-233,78;4,44;969,0540453
4,44E+09;-234,14;4,44;1000,952426
4,44E+09;-234,52;4,44;981,5107021
4,44E+09;-234,88;4,44;927,8943584
4,44E+09;-235,23;4,44;981,0549575
4,44E+09;-235,60;4,44;1002,755666
4,44E+09;-235,98;4,44;975,945279
4,45E+09;-236,34;4,45;952,7564453
4,45E+09;-236,70;4,45;986,7053373
4,45E+09;-237,07;4,45;965,7109262
4,45E+09;-237,43;4,45;1004,257117
4,45E+09;-237,81;4,45;918,0756177
4,45E+09;-238,15;4,45;1008,255324
4,45E+09;-238,53;4,45;972,2016333
4,45E+09;-238,89;4,45;970,6711906
4,45E+09;-239,26;4,45;999,0539447
4,45E+09;-239,63;4,45;975,0833008
4,45E+09;-240,00;4,45;951,4387889
4,45E+09;-240,35;4,45;963,9608754
4,45E+09;-240,71;4,45;989,9841873
4,45E+09;-241,09;4,45;980,2161886
4,45E+09;-241,45;4,45;966,0378608
4,45E+09;-241,82;4,45;965,8098251
4,45E+09;-242,18;4,45;1002,991945
4,45E+09;-242,55;4,45;962,3983636
4,45E+09;-242,91;4,45;920,8667207
4,45E+09;-243,26;4,45;1024,853925
4,45E+09;-243,64;4,45;956,4518121
4,45E+09;-244,00;4,45;980,0231236
4,45E+09;-244,37;4,45;959,1993906
4,45E+09;-244,73;4,45;973,6513355
4,45E+09;-245,09;4,45;951,0711949
4,45E+09;-245,45;4,45;1001,63434
4,45E+09;-245,83;4,45;952,4115251
4,46E+09;-246,18;4,46;997,2846473
4,46E+09;-246,56;4,46;936,0044172
4,46E+09;-246,91;4,46;982,8345314
4,46E+09;-247,28;4,46;979,8911256
4,46E+09;-247,64;4,46;994,7363481
4,46E+09;-248,02;4,46;932,0018185
4,46E+09;-248,37;4,46;986,4270407
4,46E+09;-248,74;4,46;980,361689
4,46E+09;-249,10;4,46;962,4777874
4,46E+09;-249,46;4,46;966,7952122
4,46E+09;-249,83;4,46;1009,257866
4,46E+09;-250,20;4,46;969,391002
4,46E+09;-250,57;4,46;945,5096406
4,46E+09;-250,92;4,46;960,7810457
4,46E+09;-251,28;4,46;975,2148725
4,46E+09;-251,65;4,46;987,1745163
4,46E+09;-252,02;4,46;967,6294732
4,46E+09;-252,38;4,46;985,4889805
4,46E+09;-252,75;4,46;921,6345281
4,46E+09;-253,10;4,46;999,759968
4,46E+09;-253,47;4,46;1000,076769
4,46E+09;-253,84;4,46;970,6878805
4,46E+09;-254,21;4,46;953,0180159
4,46E+09;-254,57;4,46;992,1242081
4,46E+09;-254,94;4,46;979,1332612
4,46E+09;-255,30;4,46;971,9584738
4,46E+09;-255,67;4,46;992,959226
4,47E+09;-256,04;4,47;963,4309231
4,47E+09;-256,40;4,47;977,9578392
4,47E+09;-256,77;4,47;983,645008
4,47E+09;-257,14;4,47;998,189346
4,47E+09;-257,51;4,47;988,3164458
4,47E+09;-257,88;4,47;901,3326415
4,47E+09;-258,22;4,47;1023,433356
4,47E+09;-258,60;4,47;983,5684788
4,47E+09;-258,97;4,47;994,6278159
4,47E+09;-259,35;4,47;986,8586034
4,47E+09;-259,72;4,47;986,6213912
4,47E+09;-260,08;4,47;986,6835972
4,47E+09;-260,45;4,47;973,3339126
4,47E+09;-260,82;4,47;1008,547566
4,47E+09;-261,20;4,47;976,1931278
4,47E+09;-261,56;4,47;995,4780322
4,47E+09;-261,94;4,47;1006,715129
4,47E+09;-262,31;4,47;969,3741725
4,47E+09;-262,68;4,47;1005,313682
4,47E+09;-263,05;4,47;990,8592014
4,47E+09;-263,43;4,47;1007,966429
4,47E+09;-263,80;4,47;987,4637113
4,47E+09;-264,17;4,47;993,5750875
4,47E+09;-264,55;4,47;986,4817947
4,47E+09;-264,92;4,47;1037,755634
4,47E+09;-265,30;4,47;964,9411233
4,48E+09;-265,67;4,48;1045,147911
4,48E+09;-266,06;4,48;963,899801
4,48E+09;-266,42;4,48;1024,285039
4,48E+09;-266,80;4,48;992,9327026
4,48E+09;-267,18;4,48;1004,296315
4,48E+09;-267,55;4,48;1007,826797
4,48E+09;-267,93;4,48;1015,25098
4,48E+09;-268,31;4,48;993,2425621
4,48E+09;-268,68;4,48;996,1745528
4,48E+09;-269,06;4,48;1011,400647
4,48E+09;-269,44;4,48;1032,282727
4,48E+09;-269,82;4,48;997,2337505
4,48E+09;-270,20;4,48;992,1017077
4,48E+09;-270,57;4,48;1013,901873
4,48E+09;-270,95;4,48;1034,103419
4,48E+09;-271,34;4,48;981,8606613
4,48E+09;-271,70;4,48;1013,888232
4,48E+09;-272,08;4,48;1007,509908
4,48E+09;-272,46;4,48;1033,934798
4,48E+09;-272,85;4,48;999,9592517
4,48E+09;-273,22;4,48;1014,161359
4,48E+09;-273,60;4,48;974,8511381
4,48E+09;-273,97;4,48;1017,293961
4,48E+09;-274,35;4,48;1045,149228
4,48E+09;-274,74;4,48;961,3063347
4,48E+09;-275,10;4,48;1023,746261
4,48E+09;-275,49;4,48;1013,263402
4,49E+09;-275,87;4,49;1023,319826
4,49E+09;-276,25;4,49;981,974508
4,49E+09;-276,62;4,49;1004,845412
4,49E+09;-276,99;4,49;1008,373557
4,49E+09;-277,37;4,49;1028,95997
4,49E+09;-277,76;4,49;948,8919171
4,49E+09;-278,11;4,49;1043,861138
4,49E+09;-278,51;4,49;1013,084732
4,49E+09;-278,88;4,49;966,9941232
4,49E+09;-279,25;4,49;987,6542895
4,49E+09;-279,62;4,49;1033,704415
4,49E+09;-280,00;4,49;981,964995
4,49E+09;-280,37;4,49;990,3448102
4,49E+09;-280,74;4,49;1008,277966
4,49E+09;-281,12;4,49;994,5913815
4,49E+09;-281,50;4,49;1003,068783
4,49E+09;-281,87;4,49;970,0762162
4,49E+09;-282,23;4,49;987,5044779
4,49E+09;-282,60;4,49;992,2238032
4,49E+09;-282,98;4,49;982,5719247
4,49E+09;-283,35;4,49;1001,003379
4,49E+09;-283,72;4,49;935,4521992
4,49E+09;-284,07;4,49;956,1260775
4,49E+09;-284,43;4,49;1045,537711
4,49E+09;-284,82;4,49;986,621685
4,49E+09;-285,19;4,49;980,6031163
4,49E+09;-285,56;4,49;967,589399
4,50E+09;-285,92;4,50;983,6072907
4,50E+09;-286,29;4,50;949,4545049
4,50E+09;-286,65;4,50;974,835334
4,50E+09;-287,01;4,50;968,1811523
4,50E+09;-287,37;4,50;988,676015
4,50E+09;-287,74;4,50;937,4941124
4,50E+09;-288,10;4,50;952,2516478
4,50E+09;-288,45;4,50;991,9219417
4,50E+09;-288,82;4,50;899,1631067
4,50E+09;-289,16;4,50;1011,278048
4,50E+09;-289,54;4,50;970,2445604
4,50E+09;-289,90;4,50;956,2869819
4,50E+09;-290,26;4,50;944,0045563
4,50E+09;-290,62;4,50;969,7480767
4,50E+09;-290,98;4,50;951,7802169
4,50E+09;-291,34;4,50;920,9415078
4,50E+09;-291,68;4,50;977,9496229
4,50E+09;-292,05;4,50;934,9915249
4,50E+09;-292,40;4,50;979,0057627
4,50E+09;-292,77;4,50;939,3995809
4,50E+09;-293,12;4,50;941,5658327
4,50E+09;-293,47;4,50;920,914893
4,50E+09;-293,82;4,50;959,483398
4,50E+09;-294,18;4,50;934,6069155
4,50E+09;-294,53;4,50;983,0797448
4,50E+09;-294,90;4,50;909,6052961
4,51E+09;-295,24;4,51;945,9140185
4,51E+09;-295,59;4,51;926,6534332
4,51E+09;-295,94;4,51;956,6031417
4,51E+09;-296,30;4,51;947,3450081
4,51E+09;-296,65;4,51;916,4397461
4,51E+09;-297,00;4,51;993,0247343
4,51E+09;-297,37;4,51;927,7548038
4,51E+09;-297,72;4,51;935,0386653
4,51E+09;-298,07;4,51;912,1363557
4,51E+09;-298,41;4,51;968,4835153
